Name,First_Name,Age,Hometown,Season,Race_Place,Special_Season
Nadiya Anderson,Nadiya,27,"Edgewater, New Jersey",Season 24,11th,(All-Stars)
Mark Jackson,Mark,47,"Manchester, Kentucky",Season 24,10th,(All-Stars)
Mallory Ervin,Mallory,28,"Nashville, Tennessee",Season 24,10th,(All-Stars)
Joey Graceffa,Joey,22,"Los Angeles, California",Season 24,9th,(All-Stars)
Meghan Camarena,Meghan,26,"Los Angeles, California",Season 24,9th,(All-Stars)
Margie O'Donnell,Margie,56,"Colorado Springs, Colorado",Season 24,8th,(All-Stars)
Luke Adams,Luke,28,"Philadelphia, Pennsylvania",Season 24,8th,(All-Stars)
Jessica Hoel,Jessica,27,"Eden Prairie, Minnesota",Season 24,7th,(All-Stars)
John Erck,John,28,"Mora, Minnesota",Season 24,7th,(All-Stars)
"Herbert ""Flight Time"" Lang",Herbert,37,"Brinkley, Arkansas",Season 24,6th,(All-Stars)
"Nathaniel ""Big Easy"" Lofton",Nathaniel,32,"New Orleans, Louisiana",Season 24,6th,(All-Stars)
Jet McCoy,Jet,34,"Ada, Oklahoma",Season 24,5th,(All-Stars)
Cord McCoy,Cord,33,"Tupelo, Oklahoma",Season 24,5th,(All-Stars)
Leo Temory,Leo,27,"Torrance, California",Season 24,4th,(All-Stars)
Jamal Zadran,Jamal,26,"Irvine, California",Season 24,4th,(All-Stars)
Brendon Villegas,Brendon,33,"Los Angeles, California",Season 24,3rd,(All-Stars)
Rachel Reilly,Rachel,29,"Los Angeles, California",Season 24,3rd,(All-Stars)
Caroline Cutbirth,Caroline,30,"Waco, Texas",Season 24,2nd,(All-Stars)
Jennifer Wayne,Jennifer,31,"Nashville, Tennessee",Season 24,2nd,(All-Stars)
Dave O'Leary,Dave,59,"Salt Lake City, Utah",Season 24,1st,(All-Stars)
Connor O'Leary,Connor,22,"Salt Lake City, Utah",Season 24,1st,(All-Stars)
Lisa Thomson,Lisa,28,"Miami, Florida",Season 25,11th,
Michelle Thomson,Michelle,22,"Miami, Florida",Season 25,11th,
Dennis Hour,Dennis,30,"Tustin, California",Season 25,10th,
Isabelle Du,Isabelle,28,"Tustin, California",Season 25,10th,
Michael Ward,Michael,40,"Boston, Massachusetts",Season 25,9th,
Scott Strazzullo,Scott,39,"Boston, Massachusetts",Season 25,9th,
Keith Tollefson,Keith,29,"Nashville, Tennessee",Season 25,8th,
Whitney Duncan,Whitney,29,"Nashville, Tennessee",Season 25,8th,
Shelley Porter,Shelley,42,"Detroit, Michigan",Season 25,7th,
Nici Porter,Nici,24,"Detroit, Michigan",Season 25,7th,
Tim Tsao,Tim,23,"Pasadena, California",Season 25,6th,
Te Jay McGrath,Te,24,"Pasadena, California",Season 25,6th,
Kym Perfetto,Kym,30,"Brooklyn, New York",Season 25,5th,
Alli Forsythe,Alli,26,"Brooklyn, New York",Season 25,5th,
Brooke Adams,Brooke,29,"Houston, Texas",Season 25,4th,
Robert Strauss,Robert,30,"Woodbridge, New Jersey",Season 25,4th,
Adam Dirks,Adam,26,"Princeville, Hawaii",Season 25,3rd,
Bethany Hamilton,Bethany,24,"Princeville, Hawaii",Season 25,3rd,
Misti Raman,Misti,36,"Columbia, South Carolina",Season 25,2nd,
Jim Raman,Jim,37,"Columbia, South Carolina",Season 25,2nd,
Amy DeJong,Amy,24,"Madison, Wisconsin",Season 25,1st,
Maya Warren,Maya,29,"Madison, Wisconsin",Season 25,1st,
Jeff Magee,Jeff,57,"McCall, Idaho",Season 26,11th,
Lyda Grawn,Lyda,49,"Scottsdale, Arizona",Season 26,11th,
Libby Simpson,Libby,25,"Tuskegee, Alabama",Season 26,10th,
CJ Harris,CJ,26,"Tuskegee, Alabama",Season 26,10th,
Harley Rodriguez,Harley,41,"New York, New York",Season 26,9th,
Jonathan Knight,Jonathan,46,"New York, New York",Season 26,9th,
Bergen Olson,Bergen,23,"Sunnyvale, California",Season 26,8th,
Kurt Belcher,Kurt,24,"Butler, Kentucky",Season 26,8th,
Jeff Weldon,Jeff,26,"Tampa, Florida",Season 26,7th,
Jackie Ibarra,Jackie,27,"Las Vegas, Nevada",Season 26,7th,
Alyson Dudek,Alyson,24,"Milwaukee, Wisconsin",Season 26,6th,
Steven Langton,Steven,31,"Boston, Massachusetts",Season 26,6th,
Matt Cucolo,Matt,30,"Scarsdale, New York",Season 26,5th,
Ashley Gordon,Ashley,28,"Scarsdale, New York",Season 26,5th,
Mike Dombrowski,Mike,26,"Traverse City, Michigan",Season 26,4th,
Rochelle Nevedal,Rochelle,29,"Kalkaska, Michigan",Season 26,4th,
Hayley Keel,Hayley,28,"Saint Petersburg, Florida",Season 26,3rd,
Blair Townsend,Blair,31,"Amelia Island, Florida",Season 26,3rd,
Jelani Roy,Jelani,32,"New York, New York",Season 26,2nd,
Jenny Wu,Jenny,32,"Los Angeles, California",Season 26,2nd,
Laura Pierson,Laura,29,"Los Angeles, California",Season 26,1st,
Tyler Adams,Tyler,26,"Santa Monica, California",Season 26,1st,
Kelly Berning,Kelly,37,"Los Angeles, California",Season 27,11th,
Shevonne Sullivan,Shevonne,31,"Los Angeles, California",Season 27,11th,
Alex Manard,Alex,22,"Champaign, Illinois",Season 27,10th,
Adam Dingeman,Adam,24,"Des Moines, Iowa",Season 27,10th,
"Ernest ""E-Knock"" Phillips",Ernest,29,"Boston, Massachusetts",Season 27,9th,
"Jayjion ""Jin Lao"" Greer",Jayjion,26,"Boston, Massachusetts",Season 27,9th,
Jazmine Lewis,Jazmine,23,"Los Angeles, California",Season 27,8th,
Danielle Littleton,Danielle,23,"Los Angeles, California",Season 27,8th,
Cindy Chac,Cindy,36,"San Diego, California",Season 27,7th,
Rick Chac,Rick,38,"San Diego, California",Season 27,7th,
Tanner Kloven,Tanner,26,"Dallas, Texas",Season 27,6th,
Josh Ahern,Josh,28,"Dallas, Texas",Season 27,6th,
Denise Williams,Denise,51,"Prattville, Alabama",Season 27,5th,
James Earl Corley,James,26,"Prattville, Alabama",Season 27,5th,
Tiffany Torres,Tiffany,28,"Hoboken, New Jersey",Season 27,4th,
Krista DeBono,Krista,28,"Staten Island, New York",Season 27,4th,
Logan Fazio,Logan,36,"Miami Beach, Florida",Season 27,3rd,
Chris Gordon,Chris,46,"Miami Beach, Florida",Season 27,3rd,
Justin Scheman,Justin,39,"Philadelphia, Pennsylvania",Season 27,2nd,
Diana Bishop,Diana,30,"Philadelphia, Pennsylvania",Season 27,2nd,
Kelsey Gerckens,Kelsey,25,"Santa Barbara, California",Season 27,1st,
Joey Buttitta,Joey,26,"Santa Barbara, California",Season 27,1st,
Marty Cobb,Marty,51,"McKinney, Texas",Season 28,11th,
Hagan Parkman,Hagan,22,"McKinney, Texas",Season 28,11th,
Darius Benson,Darius,22,"Tuscaloosa, Alabama",Season 28,10th,
Cameron Benson,Cameron,19,"Memphis, Tennessee",Season 28,10th,
Brittany Oldehoff,Brittany,26,"Fort Lauderdale, Florida",Season 28,9th,
Jessica VerSteeg,Jessica,28,"San Francisco, California",Season 28,9th,
Erin White Robinson,Erin,31,"Los Angeles, California",Season 28,8th,
Joslyn Davis,Joslyn,33,"Los Angeles, California",Season 28,8th,
Scott Fowler,Scott,58,"Kingsport, Tennessee",Season 28,7th,
Blair Fowler,Blair,22,"San Diego, California",Season 28,7th,
Zach King,Zach,25,"Los Angeles, California",Season 28,6th,
Rachel King,Rachel,25,"Los Angeles, California",Season 28,6th,
Brodie Smith,Brodie,28,"Dallas, Texas",Season 28,5th,
Kurt Gibson,Kurt,30,"Dallas, Texas",Season 28,5th,
Burnie Burns,Burnie,42,"Austin, Texas",Season 28,4th,
Ashley Jenkins,Ashley,33,"Austin, Texas",Season 28,4th,
Tyler Oakley,Tyler,26,"Jackson, Mississippi",Season 28,3rd,
Korey Kuhl,Korey,30,"Jackson, Mississippi",Season 28,3rd,
Sheri LaBrant,Sheri,45,"Enterprise, Alabama",Season 28,2nd,
Cole LaBrant,Cole,19,"Enterprise, Alabama",Season 28,2nd,
Dana Alexa Borriello,Dana,29,"Los Angeles, California",Season 28,1st,
Matt Steffanina,Matt,30,"Los Angeles, California",Season 28,1st,
Kevin Ng,Kevin,31,"San Diego, California",Season 29,11th,
Jenn Lee,Jenn,25,"Palos Verdes, California",Season 29,11th,
Jessie Shields,Jessie,28,"Howland, Ohio",Season 29,10th,
Francesca Piccoli,Francesca,33,"Banning, California",Season 29,10th,
Seth Tyler,Seth,37,"Seattle, Washington",Season 29,9th,
Olive Beauregard,Olive,24,"Providence, Rhode Island",Season 29,9th,
Shamir Arzeno,Shamir,28,"The Bronx, New York",Season 29,8th,
Sara Fowler,Sara,27,"Baltimore, Maryland",Season 29,8th,
Vanck Zhu,Vanck,28,"Saint Paul, Minnesota",Season 29,7th,
Ashton Theiss,Ashton,25,"Fort Worth, Texas",Season 29,7th,
Liz Espey,Liz,24,"Maryville, Missouri",Season 29,6th,
Michael Rado,Michael,37,"Pittsburgh, Pennsylvania",Season 29,6th,
Becca Droz,Becca,26,"Pittsburgh, Pennsylvania",Season 29,5th,
Floyd Pierce,Floyd,21,"Highlands Ranch, Colorado",Season 29,5th,
Matt Ladley,Matt,25,"Steamboat Springs, Colorado",Season 29,4th,
Redmond Ramos,Redmond,28,"Fremont, California",Season 29,4th,
London Kaye,London,27,"New York, New York",Season 29,3rd,
Logan Bauer,Logan,27,"Navarre, Florida",Season 29,3rd,
Tara Carr,Tara,38,"Alexandria, Virginia",Season 29,2nd,
Joey Covino,Joey,46,"Boston, Massachusetts",Season 29,2nd,
Brooke Camhi,Brooke,36,"Lynbrook, New York",Season 29,1st,
Scott Flanary,Scott,34,"Charlotte, North Carolina",Season 29,1st,
Dessie Mitcheson,Dessie,27,"Apollo, Pennsylvania",Season 30,11th,
Kayla Fitzgerald,Kayla,26,"Clermont, Florida",Season 30,11th,
April Gould,April,39,"Gilbert, Arizona",Season 30,10th,
Sarah Williams,Sarah,39,"Mesa, Arizona",Season 30,10th,
Cedric Ceballos,Cedric,48,"Maui, Hawaii",Season 30,9th,
Shawn Marion,Shawn,39,"Chicago, Illinois",Season 30,9th,
Joey Chestnut,Joey,33,"San Jose, California",Season 30,8th,
Tim Janus,Tim,41,"New York, New York",Season 30,8th,
Trevor Wadleigh,Trevor,31,"New York, New York",Season 30,7th,
Chris Marchant,Chris,33,"New York, New York",Season 30,7th,
Eric Guiffreda,Eric,33,"Ponchatoula, Louisiana",Season 30,6th,
Daniel Guiffreda,Daniel,33,"Ponchatoula, Louisiana",Season 30,6th,
Lucas Bocanegra,Lucas,35,"Miami Springs, Florida",Season 30,5th,
Brittany Austin,Brittany,31,"Miami Springs, Florida",Season 30,5th,
Alexander Rossi,Alexander,26,"Nevada City, California",Season 30,4th,
Conor Daly,Conor,25,"Noblesville, Indiana",Season 30,4th,
Kristi Leskinen,Kristi,36,"Scottsdale, Arizona",Season 30,3rd,
Jen Hudak,Jen,30,"Park City, Utah",Season 30,3rd,
Henry Zhang,Henry,22,"Los Angeles, California",Season 30,2nd,
Evan Lynyak,Evan,22,"Los Angeles, California",Season 30,2nd,
Cody Nickson,Cody,32,"Plano, Texas",Season 30,1st,
Jessica Graf,Jessica,26,"Los Angeles, California",Season 30,1st,
Art Velez,Art,49,"Temecula, California",Season 31,11th,
J.J. Carrell,J.J.,49,"San Marcos, California",Season 31,11th,
Rupert Boneham,Rupert,54,"Indianapolis, Indiana",Season 31,10th,
Laura Boneham,Laura,49,"Indianapolis, Indiana",Season 31,10th,
Corinne Kaplan,Corinne,39,"Denver, Colorado",Season 31,9th,
Eliza Orlins,Eliza,35,"New York, New York",Season 31,9th,
Janelle Pierzina,Janelle,38,"Lakeville, Minnesota",Season 31,8th,
Britney Haynes,Britney,30,"Tulsa, Oklahoma",Season 31,8th,
Rachel Reilly,Rachel,33,"Van Nuys, California",Season 31,7th,
Elissa Slater,Elissa,32,"Las Vegas, Nevada",Season 31,7th,
Chris Hammons,Chris,40,"Moore, Oklahoma",Season 31,6th,
Bret LaBelle,Bret,44,"Dedham, Massachusetts",Season 31,6th,
Becca Droz,Becca,28,"Boulder, Colorado",Season 31,5th,
Floyd Pierce,Floyd,23,"Highlands Ranch, Colorado",Season 31,5th,
Nicole Franzel,Nicole,25,"Ubly, Michigan",Season 31,4th,
Victor Arroyo,Victor,27,"Slidell, Louisiana",Season 31,4th,
Leo Temory,Leo,31,"Pasadena, California",Season 31,3rd,
Jamal Zadran,Jamal,31,"Houston, Texas",Season 31,3rd,
Tyler Oakley,Tyler,29,"Jackson, Michigan",Season 31,2nd,
Korey Kuhl,Korey,33,"Jackson, Michigan",Season 31,2nd,
Colin Guinn,Colin,38,"Austin, Texas",Season 31,1st,
Christie Woods,Christie,40,"Austin, Texas",Season 31,1st,
Nathan Worthington,Nathan,39,"Dayton, Tennessee",Season 32,11th,
Cody Buell,Cody,33,"Paint Lick, Kentucky",Season 32,11th,
Kellie Wells-Brinkley,Kellie,38,"Richmond, Virginia",Season 32,10th,
LaVonne Idlette,LaVonne,34,"Hampton, Virginia",Season 32,10th,
Jerry Eaves,Jerry,61,"Louisville, Kentucky",Season 32,9th,
Frank Eaves,Frank,25,"Louisville, Kentucky",Season 32,9th,
Michelle Newland,Michelle,34,"Lafayette, Louisiana",Season 32,8th,
Victoria Newland,Victoria,33,"Lafayette, Louisiana",Season 32,8th,
Leo Brown,Leo,31,"Somerville, Massachusetts",Season 32,7th,
Alana Folsom,Alana,29,"Somerville, Massachusetts",Season 32,7th,
Kaylynn Williams,Kaylynn,30,"Bluffton, South Carolina",Season 32,6th,
Haley Williams,Haley,31,"Bluffton, South Carolina",Season 32,6th,
Eswar Dhinakaran,Eswar,24,"Fremont, California",Season 32,5th,
Aparna Dhinakaran,Aparna,26,"Berkeley, California",Season 32,5th,
DeAngelo Williams,DeAngelo,37,"Charlotte, North Carolina",Season 32,4th,
Gary Barnidge,Gary,34,"Middleburg, Florida",Season 32,4th,
Riley McKibbin,Riley,31,"Honolulu, Hawaii",Season 32,3rd,
Maddison McKibbin,Maddison,29,"Honolulu, Hawaii",Season 32,3rd,
Hung Nguyen,Hung,39,"Houston, Texas",Season 32,2nd,
Chee Lee,Chee,38,"Houston, Texas",Season 32,2nd,
Will Jardell,Will,30,"Nederland, Texas",Season 32,1st,
James Wallington,James,31,"Grand Rapids, Michigan",Season 32,1st,
Taylor Green-Jones,Taylor,38,"Fort Worth, Texas",Season 33,8th,
Isaiah Green-Jones,Isaiah,31,"Portland, Oregon",Season 33,8th,
Caro Viehweg,Caro,23,"Los Angeles, California",Season 33,8th,
Ray Gantt,Ray,25,"Lakewood, New Jersey",Season 33,8th,
Connie Greiner,Connie,38,"Newport News, Virginia",Season 33,8th,
Sam Greiner,Sam,39,"Charlotte, North Carolina",Season 33,8th,
Anthony Sadler,Anthony,29,"Sacramento, California",Season 33,8th,
Spencer Stone,Spencer,29,"Sacramento, California",Season 33,8th,
Michael Norwood,Michael,36,"Buffalo, New York",Season 33,7th,
Moe Badger,Moe,42,"Buffalo, New York",Season 33,7th,
Akbar Cook Sr.,Akbar,45,"Newark, New Jersey",Season 33,6th,
Sheri Cook,Sheri,44,"Havana, Florida",Season 33,6th,
"Marianela ""Lulu"" Gonzalez",Marianela,37,"North Bergen, New Jersey",Season 33,5th,
"Marissa ""Lala"" Gonzalez",Marissa,37,"North Bergen, New Jersey",Season 33,5th,
Arun Kumar,Arun,56,"Detroit, Michigan",Season 33,4th,
Natalia Kumar,Natalia,28,"Detroit, Michigan",Season 33,4th,
Ryan Ferguson,Ryan,37,"Manhattan, New York",Season 33,3rd,
Dusty Harris,Dusty,38,"Columbia, Missouri",Season 33,3rd,
Raquel Moore,Raquel,31,"Chicago, Illinois",Season 33,2nd,
Cayla Platt,Cayla,30,"Gulf Breeze, Florida",Season 33,2nd,
Kim Holderness,Kim,45,"Sarasota, Florida",Season 33,1st,
Penn Holderness,Penn,47,"Durham, North Carolina",Season 33,1st,
Aastha Lal,Aastha,33,"Marina Del Rey, California",Season 34,12th,
Nina Duong,Nina,34,"Marina Del Rey, California",Season 34,12th,
Tim Mann,Tim,40,"Brentwood, Tennessee",Season 34,11th,
Rex Ryan,Rex,59,"Brentwood, Tennessee",Season 34,11th,
Rich Kuo,Rich,32,"Huntington Beach, California",Season 34,10th,
Dom Jones,Dom,35,"Huntington Beach, California",Season 34,10th,
Linton Atkinson,Linton,50,"Brooklyn, New York",Season 34,9th,
Sharik Atkinson,Sharik,23,"Brooklyn, New York",Season 34,9th,
Abby Garrett,Abby,24,"Birmingham, Alabama",Season 34,8th,
Will Freeman,Will,25,"Birmingham, Alabama",Season 34,8th,
Glenda Roberts,Glenda,41,"Norcross, Georgia",Season 34,7th,
Lumumba Roberts,Lumumba,41,"Norcross, Georgia",Season 34,7th,
Quinton Peron,Quinton,29,"Pasadena, California",Season 34,6th,
Mattie Lynch,Mattie,27,"Vista, California",Season 34,6th,
Marcus Craig,Marcus,38,"Richmond Hill, Georgia",Season 34,5th,
Michael Craig,Michael,30,"Alamogordo, New Mexico",Season 34,5th,
Aubrey Ares,Aubrey,29,"Los Angeles, California",Season 34,4th,
David Hernandez,David,29,"Los Angeles, California",Season 34,4th,
Luis Colon,Luis,34,"Miami, Florida",Season 34,3rd,
Michelle Burgos,Michelle,34,"Miami, Florida",Season 34,3rd,
Emily Bushnell,Emily,36,"Ardmore, Pennsylvania",Season 34,2nd,
Molly Sinert,Molly,36,"Palm Beach Gardens, Florida",Season 34,2nd,
Derek Xiao,Derek,24,"Los Angeles, California",Season 34,1st,
Claire Rehfuss,Claire,25,"Los Angeles, California",Season 34,1st,
Alexandra Lichtor,Alexandra,34,"Chicago, Illinois",Season 35,13th,
Sheridan Lichtor,Sheridan,29,"Chicago, Illinois",Season 35,13th,
Elizabeth Rivera,Elizabeth,52,"Tampa, Florida",Season 35,12th,
Iliana Rivera,Iliana,27,"Tampa, Florida",Season 35,12th,
Jocelyn Chao,Jocelyn,49,"Albuquerque, New Mexico",Season 35,11th,
Victor Limary,Victor,49,"Albuquerque, New Mexico",Season 35,11th,
Joe Moskowitz,Joe,35,"New York, New York",Season 35,10th,
Ian Todd,Ian,40,"New York, New York",Season 35,10th,
Liam Hykel,Liam,23,"Cheyenne, Wyoming",Season 35,9th,
Yeremi Hykel,Yeremi,24,"San Marcos, Texas",Season 35,9th,
Andrea Simpson,Andrea,44,"Philadelphia, Pennsylvania",Season 35,8th,
Malaina Hatcher,Malaina,45,"Philadelphia, Pennsylvania",Season 35,8th,
Morgan Franklin,Morgan,31,"Brooklyn, New York",Season 35,7th,
Lena Franklin,Lena,29,"Los Angeles, California",Season 35,7th,
Robbin Tomich,Robbin,41,"Kirkland, Washington",Season 35,6th,
Chelsea Day,Chelsea,41,"Shoreline, Washington",Season 35,6th,
Ashlie Martin,Ashlie,38,"Chino, California",Season 35,5th,
Todd Martin,Todd,38,"Chino, California",Season 35,5th,
Steve Cargile,Steve,54,"Petty, Texas",Season 35,4th,
Anna Leigh Wilson,Anna,28,"Royse City, Texas",Season 35,4th,
Rob McArthur,Rob,48,"Riverside, California",Season 35,3rd,
Corey McArthur,Corey,25,"New York, New York",Season 35,3rd,
Joel Strasser,Joel,42,"Kuna, Idaho",Season 35,2nd,
Garrett Smith,Garrett,43,"Meridian, Idaho",Season 35,2nd,
Greg Franklin,Greg,25,"New York, New York",Season 35,1st,
John Franklin,John,27,"Mountain View, California",Season 35,1st,